product_name,series,price,rating,reviews_count,stock,daily_sales,date
iPhone X,X,5000.0,3.7,358,19,23,2025-01-01
iPhone XS,X,5200.0,3.3,476,27,27,2025-01-01
iPhone XS Max,X,5500.0,3.1,97,40,21,2025-01-01
iPhone 11,11,6000.0,3.1,353,48,15,2025-01-01
iPhone 11 Pro,11,7000.0,4.9,395,25,27,2025-01-01
iPhone 11 Pro Max,11,8000.0,3.0,354,31,27,2025-01-01
iPhone 12,12,7000.0,4.2,179,32,21,2025-01-01
iPhone 12 mini,12,6800.0,3.8,253,7,16,2025-01-01
iPhone 12 Pro,12,8500.0,4.7,144,25,18,2025-01-01
iPhone 12 Pro Max,12,9000.0,4.9,23,13,19,2025-01-01
iPhone 13,13,8000.0,3.0,395,24,23,2025-01-01
iPhone 13 mini,13,7800.0,4.2,273,39,14,2025-01-01
iPhone 13 Pro,13,9500.0,4.8,429,44,17,2025-01-01
iPhone 13 Pro Max,13,10000.0,3.4,269,33,27,2025-01-01
iPhone 14,14,9000.0,4.9,227,48,23,2025-01-01
iPhone 14 Plus,14,9200.0,3.2,224,44,20,2025-01-01
iPhone 14 Pro,14,11000.0,4.7,246,22,31,2025-01-01
iPhone 14 Pro Max,14,12000.0,4.9,197,49,25,2025-01-01
iPhone 15,15,10000.0,3.3,24,49,16,2025-01-01
iPhone 15 Plus,15,10200.0,3.0,148,21,23,2025-01-01
iPhone 15 Pro,15,12500.0,4.4,428,37,23,2025-01-01
iPhone 15 Pro Max,15,14000.0,4.3,37,11,20,2025-01-01
iPhone 16,16,11000.0,4.7,277,38,18,2025-01-01
iPhone 16 Pro,16,14000.0,4.3,302,39,16,2025-01-01
iPhone 16 Pro Max,16,16000.0,4.2,223,31,9,2025-01-01
iPhone 17,17,12000.0,4.9,140,5,25,2025-01-01
iPhone 17 Pro,17,15500.0,4.4,264,18,36,2025-01-01
iPhone 17 Pro Max,17,18000.0,3.9,51,17,15,2025-01-01
iPhone X,X,5000.0,3.4,361,43,33,2025-01-02
iPhone XS,X,5200.0,4.4,494,27,14,2025-01-02
iPhone XS Max,X,5500.0,4.2,152,47,28,2025-01-02
iPhone 11,11,6000.0,4.8,179,49,24,2025-01-02
iPhone 11 Pro,11,7000.0,3.6,143,32,17,2025-01-02
iPhone 11 Pro Max,11,8000.0,4.8,340,32,22,2025-01-02
iPhone 12,12,7000.0,3.7,199,37,24,2025-01-02
iPhone 12 mini,12,6800.0,3.0,470,45,13,2025-01-02
iPhone 12 Pro,12,8500.0,3.6,207,12,13,2025-01-02
iPhone 12 Pro Max,12,9000.0,4.4,243,48,34,2025-01-02
iPhone 13,13,8000.0,3.5,324,36,29,2025-01-02
iPhone 13 mini,13,7800.0,3.7,451,16,20,2025-01-02
iPhone 13 Pro,13,9500.0,3.5,395,7,14,2025-01-02
iPhone 13 Pro Max,13,10000.0,3.1,122,6,15,2025-01-02
iPhone 14,14,9000.0,4.0,63,27,22,2025-01-02
iPhone 14 Plus,14,9200.0,3.5,139,48,18,2025-01-02
iPhone 14 Pro,14,11000.0,3.9,207,36,16,2025-01-02
iPhone 14 Pro Max,14,12000.0,3.7,410,42,20,2025-01-02
iPhone 15,15,10000.0,3.7,381,38,22,2025-01-02
iPhone 15 Plus,15,10200.0,3.2,106,13,30,2025-01-02
iPhone 15 Pro,15,12500.0,3.6,335,20,20,2025-01-02
iPhone 15 Pro Max,15,14000.0,4.4,412,30,17,2025-01-02
iPhone 16,16,11000.0,4.0,156,24,14,2025-01-02
iPhone 16 Pro,16,14000.0,4.4,137,43,22,2025-01-02
iPhone 16 Pro Max,16,16000.0,4.9,138,15,16,2025-01-02
iPhone 17,17,12000.0,4.8,487,46,18,2025-01-02
iPhone 17 Pro,17,15500.0,3.5,261,20,21,2025-01-02
iPhone 17 Pro Max,17,18000.0,4.1,11,5,26,2025-01-02
iPhone X,X,5000.0,3.2,149,9,21,2025-01-03
iPhone XS,X,5200.0,3.7,108,23,23,2025-01-03
iPhone XS Max,X,5500.0,4.5,140,24,21,2025-01-03
iPhone 11,11,6000.0,4.3,84,12,21,2025-01-03
iPhone 11 Pro,11,7000.0,4.6,113,24,10,2025-01-03
iPhone 11 Pro Max,11,8000.0,4.9,162,33,25,2025-01-03
iPhone 12,12,7000.0,3.6,375,22,5,2025-01-03
iPhone 12 mini,12,6800.0,5.0,493,37,15,2025-01-03
iPhone 12 Pro,12,8500.0,3.0,407,25,17,2025-01-03
iPhone 12 Pro Max,12,9000.0,4.5,204,21,14,2025-01-03
iPhone 13,13,8000.0,3.6,185,16,31,2025-01-03
iPhone 13 mini,13,7800.0,3.5,167,42,20,2025-01-03
iPhone 13 Pro,13,9500.0,5.0,60,12,26,2025-01-03
iPhone 13 Pro Max,13,10000.0,4.0,293,37,22,2025-01-03
iPhone 14,14,9000.0,3.4,326,23,27,2025-01-03
iPhone 14 Plus,14,9200.0,3.1,181,32,21,2025-01-03
iPhone 14 Pro,14,11000.0,3.9,55,10,19,2025-01-03
iPhone 14 Pro Max,14,12000.0,4.9,108,37,23,2025-01-03
iPhone 15,15,10000.0,3.2,262,25,16,2025-01-03
iPhone 15 Plus,15,10200.0,4.0,27,29,15,2025-01-03
